trace_id	family_id	requested_bytes	live_count	allocation_calls_full_trace
3200	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	134	1	1
3287	abff6880d426cbe59e117f65b0d3b12993eab626d9dae0e9bbdeed77b94a67d8	127	1	1
3795	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	120	15	20
3804	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	112	7	7
3799	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	104	13	19
3192	52a4a0ca1b14b209ff494dddc71f2cdc286878eccc2e32133f42f0b6e0b9aad0	99	1	1
3220	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	99	13	13
153	504b0641dc0dbb4133d68931a787fd8d2d08a11e516abbbff1e2708d60c6d79b	96	1	1
3204	a1e3283a7532242597e47eba3280f608ee0f4030bdae532505ee27aa8e8af194	96	1	1
3452	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	96	12	13
3800	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	96	6	6
3210	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	87	11	11
3253	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	87	11	11
3796	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	80	5	5
571	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	72	1	1
572	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	72	1	1
573	714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	72	1	1
